symbol,timeframe,vol_mult,entry_ratio,atr_sl_mult,retest_max,use_absorption_filter,n_long,n_short,n_signals,return_pct,win_rate,profit_factor,total_trades
BTC,2h,1.3,0.5,1.2,24,True,18,20,38,-127.1874713427263,27.651515151515152,0.6248461306236828,44
BTC,4h,1.3,0.5,1.2,24,True,10,9,19,-134.36983268507106,39.18269230769231,0.3761085520712794,32
ETH,1h,1.3,0.5,1.2,24,True,23,32,55,-3.902826379034875,42.45283018867924,0.7152654744748759,106
ETH,2h,1.3,0.5,1.2,24,True,20,18,38,1.413221953300138,47.2972972972973,1.157929265978499,74
ETH,4h,1.3,0.5,1.2,24,True,13,17,30,-1.90354377651994,40.80788177339902,0.7815580859457,56
BTC,1h,1.3,0.5,1.2,24,False,78,88,166,-201.79413492368772,39.248225122425545,0.5543659798241357,234
BTC,2h,1.3,0.5,1.2,24,False,81,85,166,-204.70844948287643,31.524926686217007,0.5138043014900979,88
BTC,4h,1.3,0.5,1.2,24,False,43,45,88,-205.9054191029452,35.45064254019478,0.45603865948872807,67
ETH,1h,1.3,0.5,1.2,24,False,87,83,170,-11.866043041889746,38.741721854304636,0.6696008895549899,302
ETH,2h,1.3,0.5,1.2,24,False,71,85,156,-11.566837574524627,41.754385964912274,0.7900505834954322,285
ETH,4h,1.3,0.5,1.2,24,False,43,48,91,-19.03901375316478,38.27618164967563,0.7137120763808902,166
BTC,1h,1.3,0.5,1.2,48,True,19,22,41,-15.103030595918066,44.92753623188405,0.8521438024345518,69
BTC,2h,1.3,0.5,1.2,48,True,24,27,51,-20.08430319255178,41.75824175824176,0.8266305499873652,91
BTC,4h,1.3,0.5,1.2,48,True,12,10,22,-116.16907173355322,47.5,0.48906799859251465,40
ETH,1h,1.3,0.5,1.2,48,True,31,37,68,-4.618003775064878,43.75,0.7297654143971707,128
ETH,2h,1.3,0.5,1.2,48,True,26,28,54,2.074645371825196,45.09803921568628,1.0766103854135103,102
ETH,4h,1.3,0.5,1.2,48,True,16,19,35,-12.640858569164932,36.54079254079254,0.465725983506237,65
BTC,1h,1.3,0.5,1.2,48,False,82,93,175,-209.69793143044024,37.242040256394326,0.5106907602691602,209
BTC,2h,1.3,0.5,1.2,48,False,85,89,174,-117.70338338964766,45.904972533352364,0.8556693793251278,262
BTC,4h,1.3,0.5,1.2,48,False,44,49,93,-213.38575929938912,35.97850425436633,0.4541995000383773,66
ETH,1h,1.3,0.5,1.2,48,False,95,92,187,-10.901323493919737,40.42553191489361,0.6950613707917792,329
ETH,2h,1.3,0.5,1.2,48,False,75,91,166,-13.076875349929612,41.80602006688963,0.7861040758817128,299
ETH,4h,1.3,0.5,1.2,48,False,44,48,92,-17.935372184879746,39.97781065088758,0.7239103762036206,169
BTC,1h,1.3,0.5,1.2,96,True,23,29,52,-29.785390520592504,45.97701149425287,0.8191141053822358,87
BTC,2h,1.3,0.5,1.2,96,True,27,30,57,31.72077685889696,45.63106796116505,0.9480211476647583,103
BTC,4h,1.3,0.5,1.2,96,True,14,11,25,-122.48468293282414,48.88888888888888,0.45714467386305935,45
ETH,1h,1.3,0.5,1.2,96,True,36,45,81,-7.999507219039884,41.61073825503356,0.6454171797476584,149
ETH,2h,1.3,0.5,1.2,96,True,28,33,61,0.458685175925237,45.21739130434783,1.0314860201508502,115
ETH,4h,1.3,0.5,1.2,96,True,16,19,35,-12.640858569164932,36.54079254079254,0.465725983506237,65
BTC,1h,1.3,0.5,1.2,96,False,88,96,184,-207.35646469996652,37.9521470011625,0.5480720401057199,242
BTC,2h,1.3,0.5,1.2,96,False,86,94,180,-78.95489811668477,46.79293592436975,0.892461816912355,272
BTC,4h,1.3,0.5,1.2,96,False,46,49,95,-214.44168799906961,34.37132784958872,0.45114579844706393,69
ETH,1h,1.3,0.5,1.2,96,False,98,100,198,-11.696655346714719,40.22988505747127,0.6859344927673975,348
ETH,2h,1.3,0.5,1.2,96,False,79,93,172,-14.527388573139593,42.12218649517685,0.7823022548127152,311
ETH,4h,1.3,0.5,1.2,96,False,45,49,94,-23.892559070309755,39.045537854222474,0.6788450787461143,173
BTC,1h,1.5,0.0,0.5,24,True,14,13,27,-53.20297512066155,37.254901960784316,0.3896001634872947,51
BTC,2h,1.5,0.0,0.5,24,True,18,19,37,43.827916191947125,45.714285714285715,1.115714164031553,70
BTC,4h,1.5,0.0,0.5,24,True,7,8,15,114.59566865474741,48.275862068965516,1.4736064227714285,29
ETH,1h,1.5,0.0,0.5,24,True,22,29,51,-4.069779459044892,39.39393939393939,0.6727559144124549,99
ETH,2h,1.5,0.0,0.5,24,True,18,14,32,-0.37779580394989115,40.625,1.010614764169586,64
ETH,4h,1.5,0.0,0.5,24,True,9,13,22,-14.571414939239991,22.532521780642078,0.32972593407655787,42
BTC,1h,1.5,0.0,0.5,24,False,70,73,143,-206.63870695172147,31.978122887213793,0.35876251886927174,143
BTC,2h,1.5,0.0,0.5,24,False,75,77,152,-211.2240369008542,29.289215686274506,0.5617867960310832,115
BTC,4h,1.5,0.0,0.5,24,False,34,39,73,-216.45077523128106,38.101553618794995,0.36779354620250626,52
ETH,1h,1.5,0.0,0.5,24,False,78,70,148,-7.212168731284812,39.11439114391144,0.7303560908758447,271
ETH,2h,1.5,0.0,0.5,24,False,62,75,137,-7.3877234864896355,40.55118110236221,0.8282371136572558,254
ETH,4h,1.5,0.0,0.5,24,False,31,40,71,1.0130515000752012,39.05180840664712,0.9894602488322547,132
